agent_name,agent_type,initial_cash,holding,net_worth,profit
value_11,value_investor_agent,135272,0,15076.05,-120195.95
value_12,value_investor_agent,131996,0,19667.79,-112328.21
value_13,value_investor_agent,143835,0,989.31,-142845.69
value_14,value_investor_agent,108364,0,21648.56,-86715.44
value_15,value_investor_agent,105501,0,3265.34,-102235.66
value_16,value_investor_agent,117049,0,18127.59,-98921.41
value_17,value_investor_agent,118235,0,1546.7,-116688.3
value_18,value_investor_agent,130822,0,32316.47,-98505.53
value_19,value_investor_agent,114694,0,25350.34,-89343.66
value_20,value_investor_agent,116205,0,27715.98,-88489.02
value_21,value_investor_agent,131035,0,4752.0,-126283.0
value_22,value_investor_agent,124175,0,43896.08,-80278.92
value_23,value_investor_agent,110732,0,16667.59,-94064.41
value_24,value_investor_agent,137735,0,9560.69,-128174.31
value_25,value_investor_agent,104980,0,336.24,-104643.76
value_26,value_investor_agent,144843,0,99086.08,-45756.92
value_27,value_investor_agent,122754,0,8594.46,-114159.54
value_28,value_investor_agent,100829,0,26593.85,-74235.15
value_29,value_investor_agent,141653,0,15787.88,-125865.12
